DATE,VAL
2010-11-01,10.38
2010-12-01,10.34
2011-01-01,10.34
2011-02-01,10.31
2011-03-01,10.27
2011-04-01,10.25
2011-05-01,10.25
2011-06-01,10.25
2011-07-01,10.26
2011-08-01,10.22
2011-09-01,10.21
2011-10-01,10.24
2011-11-01,10.23
2011-12-01,10.24
2012-01-01,10.23
2012-02-01,10.22
2012-03-01,10.20
2012-04-01,10.23
2012-05-01,10.25
2012-06-01,10.28
2012-07-01,10.28
2012-08-01,10.22
2012-09-01,10.20
2012-10-01,10.18
2012-11-01,10.24
2012-12-01,10.28
2013-01-01,10.29
2013-02-01,10.23
2013-03-01,10.26
2013-04-01,10.32
2013-05-01,10.29
2013-06-01,10.30
2013-07-01,10.28
2013-08-01,10.30
2013-09-01,10.29
2013-10-01,10.30
2013-11-01,10.32
2013-12-01,10.30
2014-01-01,10.30
2014-02-01,10.32
2014-03-01,10.32
2014-04-01,10.30
2014-05-01,10.30
2014-06-01,10.29
2014-07-01,10.30
2014-08-01,10.34
2014-09-01,10.33
2014-10-01,10.34
2014-11-01,10.41
2014-12-01,10.42
2015-01-01,10.54
2015-02-01,10.54
2015-03-01,10.54
2015-04-01,10.55
2015-05-01,10.53
2015-06-01,10.51
2015-07-01,10.50
2015-08-01,10.55
2015-09-01,10.59
2015-10-01,10.59
2015-11-01,10.60
2015-12-01,10.61
2016-01-01,10.65
2016-02-01,10.67
2016-03-01,10.69
2016-04-01,10.69
2016-05-01,10.69
2016-06-01,10.67
2016-07-01,10.72
2016-08-01,10.71
2016-09-01,10.71
2016-10-01,10.72
2016-11-01,10.70
2016-12-01,10.70
2017-01-01,10.65
2017-02-01,10.68
2017-03-01,10.72
2017-04-01,10.72
2017-05-01,10.75
2017-06-01,10.77
2017-07-01,10.81
2017-08-01,10.78
2017-09-01,10.77
2017-10-01,10.75
2017-11-01,10.73
2017-12-01,10.75
2018-01-01,10.73
2018-02-01,10.73
2018-03-01,10.76
2018-04-01,10.76
2018-05-01,10.77
2018-06-01,10.77
2018-07-01,10.78
2018-08-01,10.81
2018-09-01,10.83
2018-10-01,10.82
2018-11-01,10.85
2018-12-01,10.89
2019-01-01,10.92
2019-02-01,10.94
2019-03-01,10.93
2019-04-01,10.91
2019-05-01,10.92
2019-06-01,10.95
2019-07-01,10.95
2019-08-01,10.99
2019-09-01,10.97
2019-10-01,10.98
2019-11-01,10.99
2019-12-01,10.98
2020-01-01,10.99
2020-02-01,11.02
2020-03-01,11.14
2020-04-01,11.74
2020-05-01,11.62
2020-06-01,11.40
2020-07-01,11.36
2020-08-01,11.34
2020-09-01,11.34
2020-10-01,11.33
2020-11-01,11.35
2020-12-01,11.44
2021-01-01,11.41
2021-02-01,11.41
2021-03-01,11.34
2021-04-01,11.32
2021-05-01,11.30
2021-06-01,11.26
2021-07-01,11.27
2021-08-01,11.23
2021-09-01,11.28
2021-10-01,11.21
2021-11-01,11.21
2021-12-01,11.20
2022-01-01,11.19
2022-02-01,11.12
2022-03-01,11.07
2022-04-01,11.04
2022-05-01,11.01
2022-06-01,10.92
2022-07-01,10.97
2022-08-01,10.95
2022-09-01,10.95
2022-10-01,10.94
2022-11-01,10.98
2022-12-01,11.01
2023-01-01,10.99
2023-02-01,10.98
2023-03-01,11
2023-04-01,11.01
2023-05-01,11.03
2023-06-01,11.06
2023-07-01,11.09
2023-08-01,11.04
2023-09-01,11.03
2023-10-01,11.05
2023-11-01,11.07
