DATE,VAL
1979-01-01,8.375
1979-04-01,8.375
1979-07-01,8.25
1979-10-01,8.15
1980-01-01,8.025
1980-04-01,7.875
1980-07-01,7.975
1980-10-01,7.875
1981-01-01,7.85
1981-04-01,7.775
1981-07-01,7.725
1981-10-01,7.8
1982-01-01,7.8
1982-04-01,7.85
1982-07-01,7.775
1982-10-01,7.825
1983-01-01,7.875
1983-04-01,7.85
1983-07-01,7.875
1983-10-01,7.8
1984-01-01,7.825
1984-04-01,7.8
1984-07-01,7.825
1984-10-01,7.9
1985-01-01,7.85
1985-04-01,8.075
1985-07-01,8.0
1985-10-01,8.0
1986-01-01,8.025
1986-04-01,8.2
1986-07-01,8.2
1986-10-01,8.275
1987-01-01,8.2
1987-04-01,8.2
1987-07-01,8.25
1987-10-01,8.2
1988-01-01,8.225
1988-04-01,8.125
1988-07-01,8.125
1988-10-01,8.1
1989-01-01,8.075
1989-04-01,8.05
1989-07-01,8.05
1989-10-01,8.05
1990-01-01,7.975
1990-04-01,7.975
1990-07-01,7.825
1990-10-01,7.8
1991-01-01,7.9
1991-04-01,7.8
1991-07-01,7.8
1991-10-01,7.825
1992-01-01,7.875
1992-04-01,7.825
1992-07-01,7.85
1992-10-01,7.8
1993-01-01,7.875
1993-04-01,7.925
1993-07-01,7.975
1993-10-01,7.975
1994-01-01,7.9
1994-04-01,7.925
1994-07-01,7.85
1994-10-01,7.85
1995-01-01,7.825
1995-04-01,7.85
1995-07-01,7.925
1995-10-01,7.825
1996-01-01,7.8
1996-04-01,7.8
1996-07-01,7.85
1996-10-01,7.825
1997-01-01,7.825
1997-04-01,7.85
1997-07-01,7.85
1997-10-01,7.85
1998-01-01,7.975
1998-04-01,7.975
1998-07-01,8.025
1998-10-01,8.2
1999-01-01,8.1
1999-04-01,8.225
1999-07-01,8.25
1999-10-01,8.375
2000-01-01,8.35
2000-04-01,8.35
2000-07-01,8.375
2000-10-01,8.35
2001-01-01,8.325
2001-04-01,8.4
2001-07-01,8.45
2001-10-01,8.5
2002-01-01,8.525
2002-04-01,8.475
2002-07-01,8.425
2002-10-01,8.4
2003-01-01,8.375
2003-04-01,8.45
2003-07-01,8.425
2003-10-01,8.425
2004-01-01,8.425
2004-04-01,8.525
2004-07-01,8.375
2004-10-01,8.425
2005-01-01,8.4
2005-04-01,8.35
2005-07-01,8.275
2005-10-01,8.3
2006-01-01,8.3
2006-04-01,8.225
2006-07-01,8.35
2006-10-01,8.425
2007-01-01,8.4
2007-04-01,8.375
2007-07-01,8.4
2007-10-01,8.3
2008-01-01,8.375
2008-04-01,8.375
2008-07-01,8.275
2008-10-01,8.5
2009-01-01,8.625
2009-04-01,8.625
2009-07-01,8.625
2009-10-01,8.6
2010-01-01,8.6
2010-04-01,8.55
2010-07-01,8.55
2010-10-01,8.525
2011-01-01,8.45
2011-04-01,8.4
2011-07-01,8.4
2011-10-01,8.375
2012-01-01,8.375
2012-04-01,8.425
2012-07-01,8.325
2012-10-01,8.325
2013-01-01,8.275
2013-04-01,8.375
2013-07-01,8.35
2013-10-01,8.35
2014-01-01,8.375
2014-04-01,8.25
2014-07-01,8.4
2014-10-01,8.4
2015-01-01,8.525
2015-04-01,8.475
2015-07-01,8.5
2015-10-01,8.625
2016-01-01,8.65
2016-04-01,8.625
2016-07-01,8.675
2016-10-01,8.725
2017-01-01,8.8
2017-04-01,8.85
2017-07-01,8.8
2017-10-01,8.625
2018-01-01,8.775
2018-04-01,8.775
2018-07-01,8.85
2018-10-01,8.875
2019-01-01,8.875
2019-04-01,8.95
2019-07-01,9.0
2019-10-01,9.05
2020-01-01,9.175
2020-04-01,9.825
2020-07-01,9.6
2020-10-01,9.425
2021-01-01,9.325
2021-04-01,9.275
2021-07-01,9.175
2021-10-01,9.05
2022-01-01,9.05
2022-04-01,8.975
2022-07-01,9.05
2022-10-01,9.075
2023-01-01,9.075
2023-04-01,9.125
2023-07-01,9.125
